id,side,timestamp,heart_rate,hrv,breathing_rate
1692,right,1777723271,50.25125628140704,71.14329468847941,19.922964537123125
1693,left,1777723330,,,19.779495256584006
1694,right,1777723331,75.56675062972292,68.23155265404571,21.516263764080495
1695,right,1777723391,49.75124378109453,42.45283719898337,17.09645248610913
1696,left,1777727404,,67.13316654572651,14.39853396745059
1697,left,1777727465,,61.03350628047589,22.423619545921706
1698,right,1777727514,78.94736842105263,,13.832675854295813
1699,left,1777727525,76.14213197969544,79.19815544624103,15.89488184804493
1700,right,1777727575,50.16722408026756,96.42143044809626,17.884165634887882
1701,right,1777727635,49.75124378109453,88.39905810242225,20.97670481728186
1702,right,1777727695,50.16722408026756,,19.6174595389897
1703,right,1777727756,50.42016806722689,81.95711228422006,19.801980198019802
1704,right,1777728490,75.37688442211055,81.59882396462112,18.997179206723853
1705,right,1777728551,60.483870967741936,79.74960814950754,17.37193763919822
1706,right,1777728611,75.0,77.60866977434068,17.91548108335968
1707,left,1777730093,46.2962962962963,74.67294430455459,20.27255321545219
1708,left,1777730153,70.4225352112676,13.648221733844256,20.62564455139223
1709,left,1777730214,49.75124378109453,97.93073894150717,19.483049746720354
1710,left,1777730274,75.56675062972292,87.71468900170979,20.755500207555006
1711,left,1777731542,74.25742574257426,,14.652339934286474
1712,left,1777731605,57.58157389635317,90.2254990801228,19.642690113179306
1713,left,1777731666,,,18.92147587511826
1714,left,1777731773,48.54368932038835,98.51395840184273,11.250281257031427
1715,left,1777731834,47.39336492890995,45.655263416937565,20.95912969709067
1716,left,1777731894,58.36575875486381,54.28023060326322,20.053475935828875
1717,left,1777732076,64.1025641025641,52.62703619121646,18.166404263049532
1718,left,1777732136,,33.457269597038085,12.223278554936847
1719,left,1777732197,,53.313337452222235,19.15359357898577
1720,left,1777732595,53.57142857142857,,19.107173875282264
1721,left,1777732656,65.359477124183,,20.923935340937064
1722,left,1777732716,57.47126436781609,45.413047766114616,20.27027027027027
1723,left,1777732776,49.91680532445923,99.71679704807296,22.084195997239476
1724,left,1777732836,,,19.68579920484811
1725,left,1777782508,92.5925925925926,,17.637721206420128
1726,left,1777782569,75.75757575757575,92.0229606774558,15.917717644177785
1727,left,1777782630,59.28853754940712,58.46882889753732,17.17327837884252
1728,left,1777784786,117.1875,94.12475337496396,18.652366519002097
1729,right,1777784789,116.27906976744185,35.91966344806452,16.86611517147217
1730,left,1777784847,77.92207792207792,44.34534876602374,18.967833715324428
1731,right,1777784849,97.5609756097561,56.790595323272626,21.012817818869507
1732,left,1777784908,59.28853754940712,94.92123263022033,20.51702913418137
1733,right,1777784910,74.81296758104739,,17.086228499829136
1734,right,1777784970,119.76047904191617,79.1990555360682,19.422189851905802
1735,right,1777785031,87.97653958944281,40.35597772662193,17.996400719856027
1736,right,1777785092,109.0909090909091,51.27852976997571,15.820281601012498
1737,left,1777785488,73.89162561576354,52.30380735772893,17.659755379684743
1738,right,1777785491,73.52941176470588,25.32770967720685,13.986606764431636
1739,left,1777785548,,29.167006493836123,18.6419028549729
1740,right,1777785551,,61.631229699868385,17.004737033888013
1741,left,1777785609,98.6842105263158,99.3369755068431,15.079165619502385
1742,right,1777785612,101.1804384485666,,13.261133826942205
1743,right,1777785672,,72.50418707121088,23.206343067105006
1744,left,1777785984,81.9672131147541,44.37386610419613,14.40614662255896
1745,left,1777786044,68.18181818181819,49.42093982620963,16.943834326953247
1746,right,1777786071,79.57559681697613,14.03195794087742,9.832483612527312
1747,left,1777786104,63.02521008403362,,16.744575455243144
1748,right,1777786131,76.33587786259542,75.52448336811129,19.870586437051003
1749,right,1777786191,81.08108108108108,,17.76118043537663
1750,right,1777786251,99.50248756218906,81.66675401019937,12.866149161555946
1751,right,1777786311,63.69426751592356,,19.99757605138771
1752,left,1777786327,63.96588486140725,73.69489108520196,13.80389269774076
1753,right,1777786372,70.4225352112676,,14.302173135751458
1754,left,1777786387,50.76142131979695,6.208316627653335,18.171722780273587
1755,right,1777786432,75.18796992481202,77.63465289293175,17.448424509904548
1756,left,1777786448,77.72020725388602,80.2852735128811,19.18235223594293
1757,left,1777786531,68.02721088435374,63.24138190034565,14.848544842605424
1758,left,1777786591,57.69230769230769,66.55665386825763,18.081505864898695
1759,left,1777786652,,,16.82920514369552
1760,left,1777786804,62.37006237006237,50.929719581231964,16.45940014630578
1761,left,1777786865,,54.51191586427151,20.817671890360263
1762,left,1777786926,,80.86341173871341,16.776512881965246
1763,left,1777786987,73.71007371007371,60.83808257012485,19.995556542990442
1764,left,1777787048,,60.949859587432854,18.933417481855475
1765,left,1777787108,45.94180704441041,81.22003172131902,13.169972462784852
1766,right,1777787137,69.28406466512702,46.65477508689522,15.395800367788564
1767,left,1777787169,59.7609561752988,,14.157064768571317
1768,right,1777787198,69.60556844547564,78.3001219086477,15.37672988211174
1769,left,1777787230,76.14213197969544,,14.820803018054436
1770,right,1777787258,69.60556844547564,72.11792224540798,18.933960640312122
1771,left,1777787290,,79.41954973592352,16.043734030542517
1772,left,1777787351,,,19.537120529005108
1773,left,1777787412,50.76142131979695,85.40826323355034,21.028651537720144
1774,left,1777787472,,,14.904475859265615
1775,left,1777787532,,96.06519525369443,20.085698982324587
1776,left,1777787753,80.21390374331551,79.69259119208692,18.134193028410238
1777,left,1777787814,52.083333333333336,32.07825584611284,19.927880053141013
1778,left,1777787874,,,14.194722474977251
1779,left,1777788078,59.880239520958085,79.53894922894345,13.6226034308779
1780,left,1777788139,42.016806722689076,,13.874757191749147
1781,left,1777788200,40.32258064516129,96.89343969378281,17.595307917888565
1782,left,1777788264,42.13483146067416,63.136865186552555,12.93940047444468
1783,left,1777788324,,86.18631087357053,16.790418267975074
1784,left,1777788384,52.26480836236934,,18.005176488240366
1785,left,1777788782,45.662100456621005,86.1837688789228,17.834945684483596
1786,left,1777788842,75.56675062972292,51.52840079382506,19.67305260199541
1787,left,1777788903,49.09983633387889,65.07232443525749,20.063792571252186
1788,left,1777788966,,99.40527442337434,20.110349095034284
1789,left,1777789026,50.42016806722689,,13.215329782547757
1790,right,1777793061,79.7872340425532,,19.436830301520065
1791,right,1777793122,96.61835748792271,96.53393856224237,20.60557495277889
1792,right,1777793182,99.50248756218906,,17.03190643806063
1793,left,1777795918,50.16722408026756,95.29992939771715,19.481573678229342
1794,left,1777795978,49.42339373970346,95.86721048333145,22.40143369175627
1795,left,1777796039,,33.794506221709874,14.375952951426704
1796,left,1777796099,61.09979633401222,53.96368290667373,13.966480446927374
1797,left,1777796161,64.23982869379014,53.19528226172164,20.659378497030215
1798,left,1777796221,,73.1166133766123,19.57676890090426
1799,left,1777803156,65.93406593406593,,19.10980173580699
1800,left,1777803217,61.47540983606557,82.10926332702394,18.183821908750275
1801,left,1777803277,76.53061224489795,92.63235886808141,11.624630125405101
1802,left,1777807609,,92.91357556004543,18.75468867216804
1803,left,1777807669,,63.73998356462988,20.46062640994701
1804,left,1777807730,,,20.611473720371002
1805,left,1777807791,49.83388704318937,,18.63096881037814
1806,right,1777807794,97.24473257698541,95.59221027005866,16.65433012583272
1807,left,1777807852,49.26108374384236,,17.822423849643553
1808,right,1777807854,98.84678747940691,,17.43250491686036
1809,left,1777807913,,66.40937284071725,17.85651762893456
1810,right,1777807914,74.81296758104739,97.1847142655093,16.44556517925666
1811,left,1777814660,45.80152671755725,,16.102273836244756
