endDate,startDate,type,value
2025-04-17 01:27:08 -0400,2025-04-17 01:26:08 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2025-04-17 01:27:38 -0400,2025-04-17 01:27:08 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2025-04-17 01:38:08 -0400,2025-04-17 01:27:38 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2025-04-17 01:40:08 -0400,2025-04-17 01:38:08 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2025-04-17 02:25:38 -0400,2025-04-17 01:40:08 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2025-04-17 02:53:08 -0400,2025-04-17 02:25:38 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepREM
2025-04-17 03:51:38 -0400,2025-04-17 02:53:08 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2025-04-17 03:53:08 -0400,2025-04-17 03:51:38 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2025-04-17 04:09:38 -0400,2025-04-17 03:53:08 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2025-04-17 04:41:08 -0400,2025-04-17 04:09:38 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepREM
2025-04-17 04:43:38 -0400,2025-04-17 04:41:08 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2025-04-17 04:44:08 -0400,2025-04-17 04:43:38 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2025-04-17 05:45:08 -0400,2025-04-17 04:44:08 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2025-04-17 05:46:08 -0400,2025-04-17 05:45:08 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepREM
2025-04-17 05:48:38 -0400,2025-04-17 05:46:08 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2025-04-17 06:25:38 -0400,2025-04-17 05:48:38 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepREM
2025-04-17 06:30:08 -0400,2025-04-17 06:25:38 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2025-04-17 06:34:08 -0400,2025-04-17 06:30:08 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2025-04-17 06:51:08 -0400,2025-04-17 06:34:08 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2025-04-17 06:52:08 -0400,2025-04-17 06:51:08 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2025-04-17 07:00:08 -0400,2025-04-17 06:52:08 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2025-04-17 23:36:05 -0400,2025-04-17 23:14:05 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2025-04-17 23:42:35 -0400,2025-04-17 23:36:05 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepDeep
2025-04-17 23:43:35 -0400,2025-04-17 23:42:35 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2025-04-17 23:57:05 -0400,2025-04-17 23:43:35 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepDeep
2025-04-17 23:57:35 -0400,2025-04-17 23:57:05 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2025-04-18 00:14:35 -0400,2025-04-17 23:57:35 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-04-17 01:38:17 -0400,2026-04-17 01:34:48 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-04-17 01:46:44 -0400,2026-04-17 01:38:17 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2026-04-17 02:01:38 -0400,2026-04-17 01:46:44 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-04-17 02:21:00 -0400,2026-04-17 02:01:38 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepDeep
2026-04-17 02:26:28 -0400,2026-04-17 02:21:00 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-04-17 02:35:24 -0400,2026-04-17 02:26:28 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepDeep
2026-04-17 02:35:54 -0400,2026-04-17 02:35:24 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2026-04-17 02:46:20 -0400,2026-04-17 02:35:54 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-04-17 03:03:13 -0400,2026-04-17 02:46:20 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepDeep
