endDate,startDate,type,unit,value
2026-05-01 00:50:51 -0400,2026-05-01 00:50:51 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16
2026-05-01 00:58:48 -0400,2026-05-01 00:58:48 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16.5
2026-05-01 01:07:44 -0400,2026-05-01 01:07:44 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16.5
2026-05-01 01:19:39 -0400,2026-05-01 01:19:39 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16.5
2026-05-01 01:23:08 -0400,2026-05-01 01:23:08 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16
2026-05-01 01:41:01 -0400,2026-05-01 01:41:01 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15
2026-05-01 01:46:29 -0400,2026-05-01 01:46:29 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,14.5
2026-05-01 02:00:53 -0400,2026-05-01 02:00:53 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,14.5
2026-05-01 02:08:20 -0400,2026-05-01 02:08:20 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16.5
2026-05-01 02:11:49 -0400,2026-05-01 02:11:49 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16.5
2026-05-01 02:28:12 -0400,2026-05-01 02:28:12 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16
2026-05-01 02:32:11 -0400,2026-05-01 02:32:11 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16.5
2026-05-01 02:42:07 -0400,2026-05-01 02:42:07 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,17
2026-05-01 03:00:59 -0400,2026-05-01 03:00:59 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16
2026-05-01 03:09:56 -0400,2026-05-01 03:09:56 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,17
2026-05-01 03:18:52 -0400,2026-05-01 03:18:52 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16.5
2026-05-01 03:27:49 -0400,2026-05-01 03:27:49 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15
2026-05-01 03:31:17 -0400,2026-05-01 03:31:17 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15
2026-05-01 03:50:10 -0400,2026-05-01 03:50:10 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15.5
2026-05-01 03:57:37 -0400,2026-05-01 03:57:37 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16.5
2026-05-01 04:02:35 -0400,2026-05-01 04:02:35 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16
2026-05-01 04:19:58 -0400,2026-05-01 04:19:58 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15
2026-05-01 04:29:54 -0400,2026-05-01 04:29:54 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15.5
2026-05-01 04:35:52 -0400,2026-05-01 04:35:52 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15.5
2026-05-01 04:45:18 -0400,2026-05-01 04:45:18 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16
2026-05-01 04:56:14 -0400,2026-05-01 04:56:14 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,17
2026-05-01 05:01:12 -0400,2026-05-01 05:01:12 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,17
2026-05-01 05:10:38 -0400,2026-05-01 05:10:38 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16.5
2026-05-01 05:24:03 -0400,2026-05-01 05:24:03 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16
2026-05-01 05:34:29 -0400,2026-05-01 05:34:29 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15.5
2026-05-01 05:41:56 -0400,2026-05-01 05:41:56 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,23.5
2026-05-01 05:53:51 -0400,2026-05-01 05:53:51 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15
2026-05-01 06:02:48 -0400,2026-05-01 06:02:48 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15
2026-05-01 06:10:15 -0400,2026-05-01 06:10:15 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16.5
2026-05-01 06:29:07 -0400,2026-05-01 06:29:07 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15
2026-05-01 06:37:04 -0400,2026-05-01 06:37:04 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16.5
2026-05-01 06:40:33 -0400,2026-05-01 06:40:33 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16.5
2026-05-01 06:52:28 -0400,2026-05-01 06:52:28 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15
2026-05-01 07:01:54 -0400,2026-05-01 07:01:54 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15
2026-05-01 07:14:19 -0400,2026-05-01 07:14:19 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15
2026-05-01 07:21:17 -0400,2026-05-01 07:21:17 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,13
2026-05-02 01:12:18 -0400,2026-05-02 01:12:18 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15.5
2026-05-02 01:25:13 -0400,2026-05-02 01:25:13 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15
2026-05-02 01:32:40 -0400,2026-05-02 01:32:40 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16.5
2026-05-02 01:37:38 -0400,2026-05-02 01:37:38 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,17
2026-05-02 01:47:04 -0400,2026-05-02 01:47:04 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,18
2026-05-02 02:04:28 -0400,2026-05-02 02:04:28 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,17
2026-05-02 02:08:56 -0400,2026-05-02 02:08:56 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,17.5
2026-05-02 02:20:21 -0400,2026-05-02 02:20:21 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16.5
2026-05-02 02:25:49 -0400,2026-05-02 02:25:49 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,17
2026-05-02 02:36:15 -0400,2026-05-02 02:36:15 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16
2026-05-02 02:49:40 -0400,2026-05-02 02:49:40 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,14.5
2026-05-02 03:00:35 -0400,2026-05-02 03:00:35 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16
2026-05-02 03:09:32 -0400,2026-05-02 03:09:32 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,17
2026-05-02 03:21:27 -0400,2026-05-02 03:21:27 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,17
2026-05-02 03:25:55 -0400,2026-05-02 03:25:55 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,17
2026-05-02 03:39:20 -0400,2026-05-02 03:39:20 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16.5
2026-05-02 03:53:15 -0400,2026-05-02 03:53:15 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16
2026-05-02 03:56:43 -0400,2026-05-02 03:56:43 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16.5
2026-05-02 04:06:39 -0400,2026-05-02 04:06:39 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16.5
2026-05-02 04:18:35 -0400,2026-05-02 04:18:35 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16
2026-05-02 04:29:30 -0400,2026-05-02 04:29:30 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,14.5
2026-05-02 04:43:25 -0400,2026-05-02 04:43:25 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15
2026-05-02 04:51:52 -0400,2026-05-02 04:51:52 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16
2026-05-02 05:00:18 -0400,2026-05-02 05:00:18 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15.5
2026-05-02 05:10:14 -0400,2026-05-02 05:10:14 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,13.5
2026-05-02 05:14:13 -0400,2026-05-02 05:14:13 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16.5
2026-05-02 05:37:04 -0400,2026-05-02 05:37:04 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,20.5
2026-05-02 06:09:21 -0400,2026-05-02 06:09:21 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,17.5
2026-05-02 06:21:16 -0400,2026-05-02 06:21:16 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,13.5
2026-05-02 06:30:13 -0400,2026-05-02 06:30:13 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,14.5
