endDate,startDate,type,value
2026-05-02 04:58:49 -0400,2026-05-02 04:53:21 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2026-05-02 05:24:09 -0400,2026-05-02 04:58:49 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-05-02 06:24:15 -0400,2026-05-02 05:24:09 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepREM
2026-05-02 06:58:32 -0400,2026-05-02 06:24:15 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-05-02 07:11:56 -0400,2026-05-02 06:58:32 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepDeep
2026-05-02 07:14:55 -0400,2026-05-02 07:11:56 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2026-05-02 07:20:23 -0400,2026-05-02 07:14:55 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-05-02 07:22:22 -0400,2026-05-02 07:20:23 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2026-05-02 07:29:19 -0400,2026-05-02 07:22:22 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-05-02 07:30:49 -0400,2026-05-02 07:29:19 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2026-05-02 07:45:13 -0400,2026-05-02 07:30:49 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-05-02 07:47:12 -0400,2026-05-02 07:45:13 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2026-05-02 07:53:40 -0400,2026-05-02 07:47:12 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-05-02 07:54:39 -0400,2026-05-02 07:53:40 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2026-05-02 08:16:01 -0400,2026-05-02 07:54:39 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-05-02 08:18:00 -0400,2026-05-02 08:16:01 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2026-05-02 08:30:55 -0400,2026-05-02 08:18:00 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-05-02 08:43:20 -0400,2026-05-02 08:30:55 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepREM
2026-05-02 08:46:19 -0400,2026-05-02 08:43:20 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
